year,master_chronology1,61258
973,0.565134829,NA
974,0.183280877,NA
975,0.205977463,NA
976,1.931374122,NA
977,1.551817666,NA
978,1.584379355,NA
979,1.976780571,NA
980,1.697078412,NA
981,1.508741634,NA
982,0.352745009,NA
983,1.249752939,NA
984,-0.330251522,NA
985,0.784514211,NA
986,0.010729511,NA
987,0.415039812,NA
988,2.876346242,NA
989,0.501600059,NA
990,1.639965014,NA
991,0.201312717,NA
992,2.158483583,NA
993,1.323296319,NA
994,1.386950754,NA
995,0.124025439,NA
996,-0.282215933,NA
997,0.104040842,NA
998,0.983441648,NA
999,0.23068277,NA
1000,2.457851214,NA
1001,1.208813936,NA
1002,3.568955302,NA
1003,0.597287758,NA
1004,0.270130827,NA
1005,0.200515272,NA
1006,1.899142366,NA
1007,-0.337905887,NA
1008,1.846040705,NA
1009,1.297813592,NA
1010,0.677651284,NA
1011,2.461565306,NA
1012,0.805167591,NA
1013,1.237109434,NA
1014,0.808591215,NA
1015,0.055383965,NA
1016,0.149464562,NA
1017,0.205871761,NA
1018,-0.612304305,NA
1019,2.211460269,NA
1020,1.619734571,NA
1021,0.879543846,NA
1022,2.237069107,NA
1023,0.600223764,NA
1024,1.713993859,NA
1025,1.817442851,NA
1026,2.119745729,NA
1027,0.164747861,NA
1028,1.042447831,NA
1029,-0.181698597,NA
1030,0.310895982,NA
1031,0.556597413,NA
1032,1.264899384,NA
1033,0.290722638,NA
1034,0.706964632,NA
1035,1.8108404,NA
1036,0.845557525,NA
1037,1.690475367,NA
1038,1.234305332,NA
1039,1.365734227,NA
1040,1.248606041,NA
1041,0.363228158,NA
1042,0.635082512,NA
1043,0.7074915,NA
1044,1.582224349,NA
1045,1.771540305,NA
1046,1.930832239,NA
1047,1.613247587,NA
1048,0.236168198,NA
1049,-0.080959481,NA
1050,0.492647903,NA
1051,-0.443793521,NA
1052,0.390804908,NA
1053,3.164285287,NA
1054,2.906669273,NA
1055,1.445271024,NA
1056,0.228867271,NA
